22220002-1;22220002;1;GESTION Y EDUCACION AMBIENTAL.;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
222301-1;222301;1;MONITOREO AMBIENTAL;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
222321-1;222321;1;PROMOTORIA EN MANEJO AMBIENTAL;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
223247-1;223247;1;MANTENIMIENTO DE AUTOMATISMOS INDUSTRIALES;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
224204-1;224204;1;DESARROLLO DE PRODUCTOS ELECTRONICOS;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
224312-1;224312;1;AUTOMATIZACION DE SISTEMAS MECATRONICOS;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
224315-1;224315;1;MANTENIMIENTO DE AUTOMATISMOS INDUSTRIALES..;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
225220-1;225220;1;DIBUJO MECANICO;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
22620456-1;22620456;1;IMPLEMENTACION DEL SISTEMA DE GESTION DE LA SEGURIDAD Y SALUD EN EL TRABAJO;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
22810041-1;22810041;1;AUTOMATIZACION DE PROCESOS PARA LA EFICIENCIA ORGANIZACIONAL;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
228101-102;228101;102;PRODUCCION DE MULTIMEDIA;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
228106-102;228106;102;ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACION;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
228116-1;228116;1;IMPLEMENTACION DE INFRAESTRUCTURA DE TECNOLOGIAS DE LA INFORMACION Y LAS COMUNICACIONES.;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
228117-1;228117;1;PROGRAMACION PARA ANALITICA DE DATOS.;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
228118-1;228118;1;ANALISIS Y DESARROLLO DE SOFTWARE.;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
233101-1;233101;1;SISTEMAS.;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
233104-2;233104;2;PROGRAMACION DE SOFTWARE .;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
233105-1;233105;1;MANTENIMIENTO DE EQUIPOS DE COMPUTO.;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
233105-2;233105;2;MANTENIMIENTO DE EQUIPOS DE COMPUTO.;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
233108-1;233108;1;SISTEMAS TELEINFORMÁTICOS;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
3000021-1;3000021;1;EMPRENDEDOR EN PRODUCCION DE  DERIVADOS CARNICOS;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
331308-3;331308;3;SALUD PUBLICA;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
51240078-1;51240078;1;INGLES BASICO - NIVEL 1;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
51240087-1;51240087;1;ENGLISH DOES WORK - LEVEL 1;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
513400-1;513400;1;PRODUCCION DANCISTICA;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
513601-3;513601;3;ANIMACION DIGITAL;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
522309-1;522309;1;DESARROLLO DE MEDIOS GRAFICOS VISUALES;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
524139-2;524139;2;DISEÑO E INTEGRACION DE MULTIMEDIA;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
524300-1;524300;1;DESARROLLO DE COLECCIONES PARA LA INDUSTRIA DE LA MODA.;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
524500-3;524500;3;PATRONAJE INDUSTRIAL DE PRENDAS DE VESTIR;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
524703-1;524703;1;ANIMACION 3D.;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
524704-1;524704;1;INTEGRACION DE CONTENIDOS DIGITALES.;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
525203-100;525203;100;ENTRENAMIENTO DEPORTIVO;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
526202-1;526202;1;TEJIDO ARTESANAL CON AGUJAS.;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
6000014-1;6000014;1;GESTION DE MERCADO, COMERCIALIZACION Y VENTAS - BASADO EN EL MODELO CANVAS;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
621111-100;621111;100;DIRECCIÓN DE VENTAS;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
621113-1;621113;1;GESTIÓN DE MERCADOS;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
621128-1;621128;1;SUPERVISION DE VENTAS;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
62330028-1;62330028;1;TÉCNICAS DE NEGOCIACION;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
631101-1;631101;1;ASESORIA COMERCIAL;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
631101-2;631101;2;ASESORIA COMERCIAL;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
632201-1;632201;1;VENTA DE PRODUCTOS EN LINEA;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
633100-1;633100;1;OPERACION TURISTICA LOCAL;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
633400-2;633400;2;SERVICIO DE RECEPCION HOTELERA;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
634201-1;634201;1;RECREACION.;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
634205-103;634205;103;RECREACION;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
635201-1;635201;1;PASTELERIA;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
635503-103;635503;103;COCINA.;NULL;NULL;NULL;0;0;0;0;0;0;NULL;0;NULL;NULL;NULL
